,Soma_region,Cortical_layer,Transgenic_line,Brain_id,Subclass_or_type,Celltype,final_celltype
18465_00091,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00092,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00106,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00109,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00110,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00111,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00112,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00113,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00114,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00115,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00116,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00117,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00119,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00125,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00126,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00127,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00128,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00132,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00133,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00136,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00140,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00141,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00142,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00145,MG,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,MG,MG
18465_00146,MG,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,MG,MG
18465_00148,LGd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,LGd,LGd
18465_00152,MG,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,MG,MG
18465_00154,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_GPe,CP_GPe,CP_GPe
18465_00155,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_GPe,CP_GPe,CP_GPe
18465_00156,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_GPe,CP_GPe,CP_GPe
18465_00157,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_SNr,CP_SNr,CP_SNr
18465_00159,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_GPe,CP_GPe,CP_GPe
18465_00161,EPd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,,
18465_00168,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_SNr,CP_SNr,CP_SNr
18465_00175,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00177,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00199,ACB,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,ACB,ACB
18465_00203,ACB,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,ACB,ACB
18465_00204,ACB,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,ACB,ACB
18465_00205,ACB,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,ACB,ACB
18465_00206,ACB,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,ACB,ACB
18465_00207,ACB,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,ACB,ACB
18465_00209,OT,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,,
18465_00213,SI,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,,
18465_00219,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_SNr,CP_SNr,CP_SNr
18465_00226,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00227,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00228,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00229,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00230,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00233,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00234,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00235,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00238,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00241,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00242,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00243,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00245,VM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_matrix,VM,VM
18465_00246,CEA,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,,
18465_00248,DG,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,,
18465_00258,SMT,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,SMT,SMT
18465_00261,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00264,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_GPe,CP_GPe,CP_GPe
18465_00281,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_GPe,CP_GPe,CP_GPe
18465_00282,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_GPe,CP_GPe,CP_GPe
18465_00283,EPd,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,,
18465_00285,BLA,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,,
18465_00286,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00287,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00288,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00291,VPLpc,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPLpc,VPLpc
18465_00292,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00294,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00300,MG,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,MG,MG
18465_00302,MG,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,MG,MG
18465_00303,PoT,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,PoT,PoT
18465_00304,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPM,VPM
18465_00305,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00309,CEA,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,,,
18465_00312,MG,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,MG,MG
18465_00313,LD,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_matrix,LD,LD
18465_00319,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_GPe,CP_GPe,CP_GPe
18465_00328,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00347,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00348,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core,VPL,VPL
18465_00349,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_GPe,CP_GPe,CP_GPe
18470_3227_x19287_y16117,SSp-m,5,Fezf2-CreER;Ai166_378668-18470,18470,CTX_ET,ET_SSp-m,ET_SS
18470_3582_x22459_y29708,MOs,5,Fezf2-CreER;Ai166_378668-18470,18470,CTX_ET,ET_MOs,ET_MO
18470_4630_x23468_y24795,RSPd,5,Fezf2-CreER;Ai166_378668-18470,18470,CTX_ET,ET_RSP,ET_RSP
18864_00002,SSp-bfd,,Cux2-CreERT2;Ai166-382148,18864,CTX_IT,IT_SSp-bfd,IT_SS
18864_00015,SSp-bfd,,Cux2-CreERT2;Ai166-382148,18864,CTX_IT,IT_SSp-bfd,IT_SS
18864_00021,SSp-ul,,Cux2-CreERT2;Ai166-382148,18864,CTX_IT,IT_SSp-ul,IT_SS
18864_00023,SSp-un,,Cux2-CreERT2;Ai166-382148,18864,CTX_IT,IT_SSp-un,IT_SS
18864_00025,SSp-ul,,Cux2-CreERT2;Ai166-382148,18864,CTX_IT,IT_SSp-ul,IT_SS
18864_00029,SSs,,Cux2-CreERT2;Ai166-382148,18864,CTX_IT,IT_SSs,IT_SS
18864_00040,SSp-m,,Cux2-CreERT2;Ai166-382148,18864,CTX_IT,IT_SSp-m,IT_SS
18864_00043,SSs,,Cux2-CreERT2;Ai166-382148,18864,CTX_IT,IT_SSs,IT_SS
18864_00114,VISrl,,Cux2-CreERT2;Ai166-382148,18864,,,
18864_00117,VISl,,Cux2-CreERT2;Ai166-382148,18864,CTX_IT,IT_VIS,IT_VIS
18864_00119,VISp,,Cux2-CreERT2;Ai166-382148,18864,CTX_IT,IT_VIS,IT_VIS
18864_00313,SSs,,Cux2-CreERT2;Ai166-382148,18864,,,
18864_1871_x3272_y21319,MOs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOs,IT_MO
18864_1917_x3417_y12763,MOs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOs,IT_MO
18864_2047_x3016_y12128,MOs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOs,IT_MO
18864_2086_x2903_y21496,MOs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOs,IT_MO
18864_2520_x2913_y22642,MOs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOs,IT_MO
18864_3015_x3194_y23588,MOp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOp,IT_MO
18864_3248_x2473_y15212,MOs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOs,IT_MO
18864_3338_x3396_y21865,MOp,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOp,IT_MO
18864_3473_x2641_y21082,MOp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOp,IT_MO
18864_3488_x3691_y22599,MOp,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOp,IT_MO
18864_3494_x2380_y13749,MOp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOp,IT_MO
18864_3772_x5344_y6871,SSp-m,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSp-m,IT_SS
18864_4067_x3464_y21495,MOp,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOp,IT_MO
18864_4120_x3320_y13563,MOp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOp,IT_MO
18864_4157_x3358_y13741,MOp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOp,IT_MO
18864_4267_x2794_y21031,MOs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOs,IT_MO
18864_4380_x6371_y4940,SSp-n,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSp-n,IT_SS
18864_4420_x4377_y8261,SSp-ul,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSp-ul,IT_SS
18864_4429_x7945_y3080,SSs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSs,IT_SS
18864_4554_x9386_y2232,SSs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSs,IT_SS
18864_4693_x10912_y2095,SSs,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSs,IT_SS
18864_4760_x3070_y21249,MOp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_MOp,IT_MO
18864_4797_x9453_y2359,SSs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSs,IT_SS
18864_5030_x9347_y31359,SSs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSs,IT_SS
18864_5099_x6368_y29941,SSp-bfd,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSp-bfd,IT_SS
18864_5242_x9483_y31549,AUDd,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_AUD,IT_AUD
18864_5305_x7877_y31450,SSs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSs,IT_SS
18864_5444_x7352_y31475,SSs,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSs,IT_SS
18864_5637_x5637_y31619,VISp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_VIS,IT_VIS
18864_5648_x4839_y28849,SSp-bfd,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_SSp-bfd,IT_SS
18864_5692_x8806_y3272,AUDd,5,Cux2-CreERT2;Ai166_382148-18864,18864,,,
18864_6057_x8520_y2391,AUDp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_AUD,IT_AUD
18864_6074_x3503_y13192,RSPd,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_RSP,IT_RSP
18864_6104_x9372_y1806,AUDp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_AUD,IT_AUD
18864_6139_x4843_y27122,VISp,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_VIS,IT_VIS
18864_6291_x8873_y32149,AUDp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_AUD,IT_AUD
18864_6321_x4387_y7047,VISp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_VIS,IT_VIS
18864_6384_x3409_y13059,RSPd,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_RSP,IT_RSP
18864_6581_x10729_y2199,TEa,5,Cux2-CreERT2;Ai166_382148-18864,18864,,,
18864_6733_x9057_y31875,AUDp,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_AUD,IT_AUD
18864_6734_x4899_y27447,VISp,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_VIS,IT_VIS
18864_6805_x6340_y4681,VISl,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_VIS,IT_VIS
18864_6821_x5144_y6844,VISp,4,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_VIS,IT_VIS
18864_6956_x8154_y30811,VISpor,2月3日,Cux2-CreERT2;Ai166_382148-18864,18864,CTX_IT,IT_VIS,IT_VIS
18867_2903_x13633_y8787,MOp,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_MOp,ET_MO
18867_3383_x10177_y11497,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_3469_x10058_y10954,MOp,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_MOp,ET_MO
18867_3525_x9958_y10743,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_3758_x14594_y6944,MOp,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_MOp,ET_MO
18867_3801_x9223_y10977,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_3807_x9130_y11820,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_3832_x10338_y8748,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_3855_x11412_y8044,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_3926_x8710_y12751,SSs,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSs,ET_SS
18867_3973_x31634_y12362,SSs,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSs,ET_SS
18867_3994_x27846_y7437,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-ul,ET_SS
18867_4052_x9852_y8712,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_4156_x9348_y9148,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_4202_x26848_y7080,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-ul,ET_SS
18867_4216_x9933_y8365,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_4218_x8269_y11914,SSs,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSs,ET_SS
18867_4259_x9977_y8313,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_4296_x31171_y9797,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_4302_x30805_y9233,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_4330_x29413_y7746,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_4336_x10280_y7972,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_4392_x7633_y13301,SSs,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSs,ET_SS
18867_4397_x8352_y9768,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_4421_x31775_y9812,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
